movie,n_female,n_male,statistic,p_value,significant
The Three Musketeers (1993),122,51,0.09723561555769844,0.8447993398644401,False
Girl Interrupted (1999),195,28,0.25384615384615383,0.06832949051014528,False
Finding Nemo (2003),756,238,0.06691565515094922,0.37311365750933706,False
Tropic of Cancer (1970),36,31,0.18996415770609332,0.5080014376761417,False
The Sixth Sense (1999),283,100,0.0680212014134276,0.8549178741193783,False
I Know What You Did Last Summer (1997),155,60,0.08817204301075265,0.8550312526712026,False
Indiana Jones and the Kingdom of the Crystal Skull (2008),290,157,0.1036679112672963,0.20504936057864048,False
Divine Secrets of the Ya-Ya Sisterhood (2002),55,26,0.40349650349650357,0.004219229824744537,True
Ace Ventura: When Nature Calls (1995),137,90,0.07072181670721817,0.9252298028811673,False
Dances with Wolves (1990),87,48,0.18390804597701155,0.21297482798555942,False
Date and Switch (2014),42,27,0.15343915343915343,0.7690696336937954,False
The Intouchables (2011),157,60,0.1423566878980892,0.3066834929532204,False
Mrs. Doubtfire (1993),413,111,0.10819536243265049,0.23669385135040738,False
Ghostbusters (2016),289,99,0.17716962007619452,0.016712096763931598,False
Almost Famous (2000),164,49,0.11660029865604776,0.6342370687179036,False
Blade Runner (1982),127,90,0.14243219597550294,0.20906264256319188,False
Unforgiven (1992),50,37,0.17567567567567566,0.46418782682391474,False
Rosemary's Baby (1968),108,47,0.13987391646966119,0.4903748248526561,False
Cheaper by the Dozen (2003),540,135,0.21666666666666667,6.758832022465142e-05,True
Can't Hardly Wait (1998),69,26,0.3494983277591973,0.014273666670368982,False
Die Another Day (2002),79,69,0.06494221243808485,0.9930737198836852,False
Toy Story 2 (1999),675,219,0.0626281075596144,0.5110955532081007,False
Transformers: Age of Extinction (2014),335,161,0.11588022619820149,0.09762372669001804,False
Like Stars on Earth (2007),43,30,0.12790697674418605,0.8898041823632263,False
Terminator 2: Judgement Day (1991),160,138,0.14329710144927543,0.08405264326895913,False
25th Hour (2002),50,33,0.24424242424242426,0.15715321521615663,False
Who's Afraid of Virginia Woolf (1966),84,36,0.11904761904761901,0.8289658991641556,False
Adaption (2002),54,34,0.1895424836601306,0.38439298540534333,False
Life is Beautiful (1997),158,59,0.1617678609740399,0.18530776955818107,False
Room (2015),239,56,0.187089061566049,0.07182279981668488,False
Scream (1996),239,108,0.14419649775298307,0.0803070307038434,False
The Evil Dead (1981),73,59,0.09890875319247738,0.8645847181381261,False
Gangs of New York (2002),91,68,0.15174531351001952,0.2950457006926405,False
Stand By Me (1986),155,61,0.09243786356425172,0.8070795495005633,False
The Vow (2012),396,47,0.16059531485063394,0.20377846857609339,False
Toy Story 3 (2010),639,215,0.03466171707246063,0.9858731246947606,False
The Matrix Reloaded (2003),186,141,0.10134980553649053,0.35196091201166857,False
Once Upon a Time in the West (1968),45,34,0.10849673202614374,0.949168650899528,False
Star Wars: Episode V - The Empire Strikes Back (1980),292,185,0.09002221399481669,0.29490423879010763,False
War Games (1983),60,47,0.10354609929078014,0.9018342525177471,False
Kill Bill: Vol. 2 (2004),209,137,0.0822128313484441,0.5929428504438775,False
Saving Private Ryan (1998),272,151,0.229913322945072,5.306184979177959e-05,True
Just Married (2003),137,34,0.20373550880206093,0.1728512438195467,False
Being John Malkovich (1999),78,61,0.14859184531315678,0.38751696600644836,False
Father's Day (1997),49,21,0.26530612244897955,0.21470740548685022,False
Batman (1989),271,100,0.09483394833948344,0.49103331284745205,False
Se7en (1995),140,98,0.1285714285714286,0.2701705999581377,False
Happy Gilmore (1996),196,101,0.08451202263083446,0.686301616254168,False
My Big Fat Greek Wedding (2002),399,99,0.2108301055669478,0.0014106432759536111,True
Boomerang (1992),43,26,0.20572450805008946,0.42605635369709455,False
The Avengers (2012),538,208,0.059336574206462656,0.639275861878441,False
In America (2002),43,27,0.24892334194659774,0.20878129529239756,False
Tarzan (1999),571,176,0.06959480974367138,0.5058157241615084,False
Scent of a Woman (1992),71,35,0.19154929577464785,0.30672635117480057,False
The Cabin in the Woods (2012),285,119,0.22358838272150972,0.0003577293281120506,True
Spider-Man (2002),603,217,0.09017890577832804,0.13867449508525795,False
Broken Arrow (1996),40,29,0.16982758620689656,0.6427799012256853,False
Baby Geniuses (1999),107,36,0.17834890965732086,0.3195201711908462,False
Battlefield Earth (2000),43,30,0.19767441860465118,0.42754819371204383,False
The Firm (1993),48,26,0.3349358974358975,0.03403805596188132,False
De-Lovely (2004),42,20,0.2928571428571429,0.15527667095761366,False
Die Hard (1988),169,119,0.20197901645865446,0.005540611243870346,False
The Lord of the Rings: The Two Towers (2002),318,163,0.0769957942663117,0.5132838617187506,False
The Blair Witch Project (1999),213,85,0.11670809168737917,0.34464322468304953,False
Judge Dredd (1995),40,41,0.16158536585365857,0.5854761410778289,False
10 Things I Hate About You (1999),481,57,0.2502097238939343,0.002673282368631923,True
The Insider (1999),60,35,0.2142857142857143,0.2247299969690506,False
Erik the Viking (1989),38,22,0.26076555023923453,0.24568475649125698,False
Pirates of the Caribbean: At World's End (2007),465,180,0.12240143369175627,0.03712833920285795,False
The Ring (2002),263,102,0.04805039886677104,0.9917871576170149,False
The Truman Show (1998),260,113,0.049115044247787565,0.9848664096056005,False
Forrest Gump (1994),581,193,0.02475631616027396,0.9999713221231763,False
I.Q. (1994),40,26,0.2326923076923077,0.3055678578353724,False
Goodfellas (1990),126,88,0.16883116883116878,0.09025857439703021,False
Uptown Girls (2003),217,25,0.37566820276497703,0.002414715488211553,True
Beauty and the Beauty (1991),391,100,0.2621739130434782,2.568939101396322e-05,True
Black Hawk Down (2001),83,83,0.06024096385542166,0.9984401671284038,False
Knight and Day (2010),140,54,0.2150793650793651,0.0453606768554722,False
The Shawshank Redemption (1994),259,125,0.07218532818532819,0.7360172592864961,False
Sleepy Hollow (1999),115,41,0.20063626723223754,0.15030760792770584,False
The Holiday (2006),229,36,0.21300339640950994,0.10080989203219971,False
Sixteen Candles (1984),411,51,0.16101331043366252,0.16910038909738387,False
10000 BC (2008),105,69,0.12422360248447203,0.49241061991189006,False
Austin Powers: The Spy Who Shagged Me (1999),263,129,0.09255165502402216,0.41597309098584173,False
The Lion King (1994),701,221,0.040356052439630585,0.934394822146513,False
Child's Play (1988),105,52,0.0882783882783883,0.9213218386947971,False
Anger Management (2002),137,64,0.07527372262773724,0.9449050395442424,False
Angels in the Outfield (1994),156,60,0.17435897435897435,0.12668801173188524,False
Wild Wild West (1999),54,43,0.1128337639965547,0.8761445402053297,False
Split (2016),216,77,0.0945767195767197,0.6475925313740682,False
Bad Boys (1995),100,72,0.14222222222222225,0.3269425311264807,False
The Prestige (2006),121,86,0.054295598693061664,0.995674086159361,False
American Graffiti (1973),46,37,0.055229142185664104,0.9999971112897794,False
Air Force One (1997),80,62,0.056048387096774066,0.9994097547610633,False
Harry Potter and the Sorcerer's Stone (2001),640,215,0.16664244186046506,0.00022193614445516267,True
Close Encounters of the Third Kind (1977),61,47,0.12207882804325076,0.7648046317808321,False
Hollow Man (2000),49,36,0.1808390022675737,0.4410966087210113,False
Point Break (1991),64,36,0.29513888888888884,0.028134208884610868,False
I Robot (2004),246,150,0.08845528455284546,0.4289948876461366,False
Batman: The Dark Knight (2008),494,220,0.183271991166728,5.9516901015714123e-05,True
Ghost (1990),133,55,0.09856459330143541,0.8001910848803383,False
A Bug's Life (1998),550,177,0.0692141756548536,0.515271486515285,False
American Pie (1999),305,135,0.13649058894960536,0.054626209127496834,False
Daredevil (2003),106,91,0.06209827907941129,0.9826915549531041,False
The Bandit (1996),41,24,0.2489837398373983,0.25079957550256976,False
Grease (1978),523,119,0.20910390925012445,0.0003365194123849224,True
The Girl Next Door (2004),127,43,0.13660501739608133,0.5316512407510637,False
The Godfather (1972),247,143,0.166728008833272,0.011288866076720179,False
Cloverfield (2008),124,91,0.10324353066288539,0.5828697830320464,False
Rush Hour 2 (2001),270,155,0.049342891278375156,0.9577569040863927,False
Bruce Almighty (2003),375,149,0.06319463087248323,0.7581225399499908,False
Girl With a Pearl Earring (2003),95,30,0.13684210526315793,0.7313563381210458,False
Grown Ups 2 (2013),335,117,0.13238933537441003,0.0856948410520327,False
Best Laid Plans (1999),32,20,0.20000000000000007,0.6358689684007817,False
Bram Stoker's Dracula (1992),71,36,0.1662754303599374,0.4494583972248249,False
Fahrenheit 9/11 (2004),85,52,0.14095022624434392,0.48686506973620536,False
Donnie Darko (2001),162,78,0.09449192782526117,0.6916948961875902,False
Bad Teacher (2011),365,89,0.04817608126827766,0.9929219038041732,False
Cable Guy (1996),55,43,0.1365750528541226,0.6926349035792253,False
Ice Age (2002),646,221,0.05977613717551798,0.5740733208468703,False
Misery (1990),84,50,0.08999999999999997,0.9348362506190858,False
8 Mile (2002),205,119,0.1630252100840336,0.031709847926976766,False
Harry Potter and the Deathly Hallows: Part 2 (2011),614,202,0.17860483116715575,0.00010198394495644528,True
Ouija: Origin of Evil (2016),141,52,0.11156573922531376,0.6818224358608609,False
The Deer Hunter (1978),40,37,0.29662162162162165,0.051603406139473944,False
There's Something About Mary (1998),147,51,0.14365746298519408,0.3732921003094645,False
Zoolander (2001),332,137,0.09647348518160237,0.30302329916444015,False
The Core (2003),48,35,0.1708333333333333,0.5244855315842428,False
Spirited Away (2001),389,143,0.09653585489061067,0.26289758922141987,False
Rocky (1976),202,108,0.12614594792812617,0.19149720287603883,False
Traffic (2000),49,34,0.21188475390156059,0.27709521822067357,False
Monsters  Inc.(2001),686,226,0.03195386877886419,0.9922668261164405,False
Thoroughly Modern Millie (1967),74,25,0.13297297297297297,0.8366628704731223,False
Requiem for a Dream (2000),136,68,0.06617647058823528,0.9870539933693764,False
Downfall (2004),39,31,0.20678246484698098,0.38625352151726733,False
L.A. Confidential (1997),40,39,0.3153846153846155,0.030838099159015194,False
Chicago (2002),196,41,0.3047536087605775,0.0027203184344336824,True
Star Wars: Episode 1 - The Phantom Menace (1999),271,173,0.07365143015592004,0.5821868935725906,False
Rain Man (1988),139,63,0.0795934680826767,0.9200420523372853,False
What Lies Beneath (2000),43,26,0.22271914132379253,0.32932378925314715,False
Toy Story (1995),682,230,0.0944791533851842,0.0858032477380457,False
Boy's Don't Cry (1999),71,29,0.1670713938805245,0.5456785074404541,False
Pearl Harbor (2001),173,88,0.14326064109301107,0.16132767181201402,False
A.I. Artificial Intelligence (2001),91,51,0.1284205990088343,0.5955964395197743,False
The Sting (1973),57,35,0.12330827067669173,0.8455754800935336,False
Scream 3 (2000),168,68,0.07422969187675071,0.9301452784228478,False
Congo (1995),40,27,0.2407407407407407,0.258439323976388,False
Bowling For Columbine (2002),75,42,0.1761904761904762,0.32671179262530575,False
What Women Want (2000),108,32,0.17129629629629634,0.4124659622699142,False
Home Alone (1990),636,208,0.059113449443638055,0.6176046346006843,False
How the Grinch Stole Christmas (2000),568,162,0.12473917579551386,0.03570881858416915,False
The Straight Story (1999),36,27,0.35185185185185175,0.03483721980501375,False
The Hulk (2003),284,152,0.06236100815418821,0.8066157784352237,False
Gigli (2002),47,23,0.13691026827012026,0.8870032636424466,False
Rocky V (1991),111,72,0.11036036036036045,0.6121215720133875,False
The Visit (2015),134,58,0.0751415337107566,0.95930655434882,False
Titanic (1997),674,190,0.08838044666562545,0.18400070630261642,False
A Clockwork Orange (1971),170,90,0.0862745098039216,0.734849675367495,False
Charlie's Angels (2000),318,80,0.14606918238993705,0.11622133528369465,False
Friday the 13th Part III (1982),111,50,0.06990990990990997,0.9898766689716801,False
Hannibal (2001),146,62,0.0996464869642068,0.7345745101388617,False
Pulp Fiction (1994),325,154,0.13206793206793205,0.04673562557079986,False
Crimson Tide (1995),42,30,0.19523809523809524,0.45863474729745235,False
Blow (2001),61,31,0.19196192490745634,0.3615862752096718,False
Ran (1985),34,32,0.16176470588235292,0.71303350875757,False
Mulholland Dr. (2001),65,51,0.15595776772247366,0.4341115403370402,False
Apocalypse Now (1979),95,72,0.2404970760233918,0.014003103059684097,False
Cinema Paradiso (1988),65,35,0.16043956043956037,0.5417510059242043,False
Double Jeopardy (1999),62,32,0.10786290322580645,0.9347272343791234,False
The Big Lebowski (1998),124,88,0.1799853372434017,0.06116715859409582,False
