movie,n_social,n_alone,statistic,p_value,significant,social_mean,alone_mean
Iron Man 3 (2013),261,320,45247.5,0.03876694698907714,False,2.9904214559386975,2.890625
Big Daddy (1999),102,130,6868.0,0.31717389040783134,False,2.9411764705882355,2.8346153846153848
Suspiria (1977),33,32,493.0,0.6809253685040462,False,2.393939393939394,2.53125
The Passenger (1975),48,47,995.5,0.8418875840282318,False,2.2916666666666665,2.4680851063829787
The Station Agent (2003),30,34,459.0,0.7578312672514673,False,2.033333333333333,2.161764705882353
Jurassic Park (1993),257,339,42653.5,0.6720091755761584,False,3.0214007782101167,3.0427728613569323
Captain America: Civil War (2016),243,293,41362.0,0.00047511602872289156,True,3.1769547325102883,2.960750853242321
A Perfect Murder (1998),37,45,817.5,0.5584349810266936,False,2.364864864864865,2.411111111111111
Analyze That (2002),35,42,740.5,0.47935808802549135,False,2.2714285714285714,2.2738095238095237
Braveheart (1995),88,118,5293.5,0.4042797074420495,False,2.7613636363636362,2.7457627118644066
Inception (2010),298,416,63499.0,0.2811048141620213,False,3.3003355704697985,3.2632211538461537
Groundhog Day (1993),111,176,9524.0,0.6413077878417464,False,2.6936936936936937,2.7698863636363638
The Lookout (2007),30,30,527.5,0.12376435472996167,False,2.3666666666666667,2.1
21 Grams (2003),30,37,571.5,0.4191707850802928,False,2.25,2.2567567567567566
Gladiator (2000),127,173,11031.5,0.47509175925161207,False,2.956692913385827,2.96242774566474
Midnight Cowboy (1969),33,43,554.0,0.951212796324954,False,2.3181818181818183,2.802325581395349
Fatal Attraction (1987),49,73,1388.5,0.9830959341938207,False,2.4183673469387754,2.835616438356164
House of Sand and Fog (2003),34,31,530.5,0.4841189158371591,False,2.235294117647059,2.193548387096774
On Golden Pond (1981),31,32,550.5,0.22645846159576982,False,2.435483870967742,2.171875
The Mummy (1999),165,199,16423.0,0.49797660265144206,False,2.6787878787878787,2.7261306532663316
The Descent (2005),48,65,1640.0,0.3204483231989945,False,2.5208333333333335,2.4153846153846152
Runaway Bride (1999),66,77,2702.0,0.25540891747868466,False,2.553030303030303,2.4935064935064934
Harry Potter and the Goblet of Fire (2005),338,473,85901.0,0.029211247790431865,False,3.363905325443787,3.2526427061310783
Gods and Generals (2003),32,31,482.5,0.5768715936013764,False,2.171875,2.225806451612903
My Father and My Son (2005),34,32,616.0,0.17669898337195022,False,2.3823529411764706,2.109375
X-Men 2 (2003),205,241,25300.0,0.32697207507276393,False,2.926829268292683,2.900414937759336
The Usual Suspects (1995),69,124,4338.5,0.4340507507209661,False,3.0652173913043477,3.120967741935484
The Mask (1994),178,219,21659.5,0.026810048269930956,False,2.691011235955056,2.452054794520548
Jaws (1975),212,282,27150.0,0.9615543947593744,False,2.509433962264151,2.702127659574468
Harry Potter and the Chamber of Secrets (2002),355,488,92420.5,0.04142224016049832,False,3.3295774647887324,3.228483606557377
Patton (1970),35,26,431.5,0.6383163559829556,False,2.242857142857143,2.326923076923077
Anaconda (1997),85,112,4906.0,0.35544903368204805,False,2.335294117647059,2.2723214285714284
Twister (1996),75,99,4085.0,0.1265715205812588,False,2.486666666666667,2.3383838383838382
MacArthur (1977),29,32,461.5,0.5174313457420333,False,2.103448275862069,2.125
Look Who's Talking (1989),54,54,1735.0,0.043228221515399456,False,2.509259259259259,2.1666666666666665
