movie,n_only,n_siblings,statistic,p_value,significant
Arachnophobia (1990),21,83,0.1887550200803214,0.5111420179169213,False
Stir Crazy (1980),10,48,0.30416666666666675,0.3490368524565253,False
Billy Jack (1971),12,47,0.16489361702127658,0.9090921662182562,False
The Silencers (1966),17,46,0.2058823529411764,0.5883304067397892,False
The Three Musketeers (1993),40,134,0.07313432835820888,0.9912090574033479,False
Girl Interrupted (1999),37,190,0.18506401137980089,0.20868078248777736,False
Finding Nemo (2003),157,841,0.10628081522603527,0.09277128010632012,False
Tropic of Cancer (1970),16,51,0.2867647058823529,0.2187857466847951,False
The Sixth Sense (1999),70,316,0.021157323688969276,0.9999999999999997,False
I Know What You Did Last Summer (1997),31,185,0.1330427201394943,0.6771179770162644,False
Indiana Jones and the Kingdom of the Crystal Skull (2008),82,369,0.04471544715447162,0.9985917163806394,False
Divine Secrets of the Ya-Ya Sisterhood (2002),20,61,0.22049180327868853,0.3972765476458818,False
Ace Ventura: When Nature Calls (1995),36,194,0.08705612829324172,0.9575077334980439,False
Dances with Wolves (1990),32,104,0.1322115384615385,0.73573101482773,False
Date and Switch (2014),14,55,0.14155844155844155,0.9477795960272912,False
The Intouchables (2011),45,171,0.05029239766081878,0.9999324122247514,False
Mrs. Doubtfire (1993),79,449,0.10873671449916839,0.3742614407541133,False
Ghostbusters (2016),65,327,0.0378734415431663,0.999989630139844,False
Almost Famous (2000),27,185,0.1509509509509509,0.5982858087258389,False
Blade Runner (1982),43,176,0.15618393234672304,0.32807527442094675,False
Unforgiven (1992),15,72,0.3138888888888889,0.13788380498398886,False
Rosemary's Baby (1968),31,126,0.14720942140296978,0.5960681257797906,False
Cheaper by the Dozen (2003),83,592,0.1488114620644741,0.07095544148994198,False
Can't Hardly Wait (1998),18,77,0.21284271284271294,0.45279024066770973,False
Die Another Day (2002),31,118,0.1530891197375615,0.5541717700155641,False
Toy Story 2 (1999),145,754,0.09708222811671091,0.18861080742438663,False
Transformers: Age of Extinction (2014),99,399,0.03425229741019217,0.9999354849579564,False
Like Stars on Earth (2007),15,58,0.14137931034482765,0.9380292627508455,False
Terminator 2: Judgement Day (1991),58,241,0.09944198025468592,0.7003207198367855,False
25th Hour (2002),17,66,0.17379679144385018,0.7329997873893078,False
Who's Afraid of Virginia Woolf (1966),24,96,0.125,0.9066489295172324,False
Adaption (2002),14,74,0.276061776061776,0.27479469939739504,False
Life is Beautiful (1997),38,178,0.1241868716735659,0.6679192539794943,False
Room (2015),52,245,0.10282574568288849,0.7101956539215377,False
Scream (1996),62,288,0.05824372759856632,0.9902791524063171,False
The Evil Dead (1981),27,109,0.12640163098878676,0.8271152080112695,False
Gangs of New York (2002),30,130,0.1282051282051283,0.7726704692772984,False
Stand By Me (1986),30,186,0.18279569892473113,0.312947225414165,False
The Vow (2012),65,379,0.14706718084026793,0.16220558989598186,False
Toy Story 3 (2010),129,731,0.10487916096671229,0.16713814359061402,False
The Matrix Reloaded (2003),69,260,0.07892976588628761,0.853750037916447,False
Once Upon a Time in the West (1968),16,63,0.21031746031746035,0.5493949324945955,False
Star Wars: Episode V - The Empire Strikes Back (1980),80,400,0.15000000000000008,0.09291322577926868,False
War Games (1983),22,85,0.1754010695187166,0.5883484477606379,False
Kill Bill: Vol. 2 (2004),59,287,0.08427331246678085,0.843734125562576,False
Saving Private Ryan (1998),75,350,0.06190476190476191,0.9603326289113207,False
Just Married (2003),28,142,0.15794768611670018,0.5477601376291716,False
Being John Malkovich (1999),24,116,0.10057471264367815,0.9735431814355284,False
Father's Day (1997),17,53,0.16870144284128746,0.783580675957453,False
Batman (1989),77,297,0.07696007696007698,0.8314658912669368,False
Se7en (1995),42,195,0.10512820512820512,0.7960353168680341,False
Happy Gilmore (1996),36,266,0.3343776106934001,0.0011588664786693318,True
My Big Fat Greek Wedding (2002),73,426,0.18325937359315708,0.026247670629925487,False
Boomerang (1992),14,54,0.1507936507936508,0.9258771931261931,False
The Avengers (2012),128,622,0.01472065916398714,1.0,False
In America (2002),12,58,0.16379310344827586,0.907830364979082,False
Tarzan (1999),117,633,0.05610240207396611,0.8951022011742741,False
Scent of a Woman (1992),30,76,0.18859649122807018,0.37459720434776567,False
The Cabin in the Woods (2012),63,342,0.07602339181286549,0.893045128066139,False
Spider-Man (2002),127,698,0.07832276696072016,0.49733104185778976,False
Broken Arrow (1996),12,57,0.2149122807017544,0.6723401220678804,False
Baby Geniuses (1999),24,120,0.10000000000000003,0.9817135913608919,False
Battlefield Earth (2000),15,58,0.2252873563218391,0.5053283399818521,False
The Firm (1993),14,60,0.16428571428571426,0.8669393458921009,False
De-Lovely (2004),15,47,0.07943262411347518,0.999974037101471,False
Die Hard (1988),50,240,0.14916666666666667,0.2853689702256103,False
The Lord of the Rings: The Two Towers (2002),85,401,0.03385653513275627,0.9999870926438515,False
The Blair Witch Project (1999),44,255,0.07887700534759362,0.9566335950673613,False
Judge Dredd (1995),17,65,0.14027149321266968,0.9142590302705133,False
10 Things I Hate About You (1999),71,466,0.07568155715408331,0.8422892730931695,False
The Insider (1999),21,73,0.12133072407045009,0.9397274617514367,False
Erik the Viking (1989),13,47,0.29623567921440264,0.27230285217922373,False
Pirates of the Caribbean: At World's End (2007),114,535,0.059993441547794735,0.8639296241110835,False
The Ring (2002),64,305,0.07976434426229506,0.8582512629784697,False
The Truman Show (1998),69,306,0.09008240977550441,0.7114749503807553,False
Forrest Gump (1994),120,656,0.03394308943089431,0.9995215938266936,False
I.Q. (1994),16,50,0.09999999999999998,0.9979779652060119,False
Goodfellas (1990),37,177,0.09146434570163386,0.9354679325427953,False
Uptown Girls (2003),29,214,0.23106670963583625,0.10999940587663364,False
Beauty and the Beauty (1991),75,417,0.15443645083932855,0.0855644904091599,False
Black Hawk Down (2001),32,134,0.06343283582089554,0.9996408533642299,False
Knight and Day (2010),46,149,0.08505981908374671,0.9371118607288392,False
The Shawshank Redemption (1994),75,310,0.06903225806451616,0.9133194625915277,False
Sleepy Hollow (1999),27,132,0.12121212121212122,0.8549293364922226,False
The Holiday (2006),44,219,0.18462017434620182,0.14194721918894027,False
Sixteen Candles (1984),66,395,0.13544303797468354,0.22551562615639387,False
10000 BC (2008),26,149,0.11202891068662879,0.9098725030632343,False
Austin Powers: The Spy Who Shagged Me (1999),48,346,0.06611271676300579,0.9860436871946949,False
The Lion King (1994),151,776,0.09913292824469172,0.15449987478607988,False
Child's Play (1988),22,136,0.1651069518716578,0.6171301395045926,False
Anger Management (2002),29,173,0.07614112019134944,0.9959333831923259,False
Angels in the Outfield (1994),33,185,0.05847665847665848,0.9998419128189496,False
Wild Wild West (1999),26,72,0.14209401709401714,0.7745683829164733,False
Split (2016),54,240,0.10833333333333328,0.6351868217592501,False
Bad Boys (1995),29,141,0.16996820738566887,0.43570296136439496,False
The Prestige (2006),39,168,0.10302197802197804,0.8508356573217226,False
American Graffiti (1973),17,66,0.23351158645276293,0.37939023604073346,False
Air Force One (1997),30,111,0.11531531531531532,0.8715951657091855,False
Harry Potter and the Sorcerer's Stone (2001),138,721,0.057558945908460446,0.8128535141132414,False
Close Encounters of the Third Kind (1977),22,87,0.3014629049111808,0.06600899928540309,False
Hollow Man (2000),18,66,0.09090909090909088,0.999042539068675,False
Point Break (1991),20,80,0.17500000000000002,0.6775439365140626,False
I Robot (2004),60,337,0.11973293768545995,0.4213170360126571,False
Batman: The Dark Knight (2008),121,595,0.042600180568095,0.9888971250574256,False
Ghost (1990),44,145,0.10485893416927905,0.8069255680880829,False
A Bug's Life (1998),106,625,0.037162264150943314,0.9991018150712392,False
American Pie (1999),75,367,0.19712988192552228,0.01335068109621714,False
Daredevil (2003),42,156,0.11263736263736268,0.7488747139507081,False
The Bandit (1996),15,50,0.16000000000000003,0.8881896851090797,False
Grease (1978),95,550,0.038373205741626795,0.9993777624513726,False
The Girl Next Door (2004),30,140,0.19999999999999996,0.2433319923811867,False
The Godfather (1972),71,321,0.07007151945943574,0.9144934790874046,False
Cloverfield (2008),33,185,0.07911547911547911,0.9877195470439443,False
